control,is_ditch,ratio,measured,predicted,dz,rise_before,horiz_near,have_prev
0,1,4.528680891100727,3.240878738286158,0.7156341584267467,-0.9013280952079044,0.0,4.45880141569412,0.0
0,1,4.6317868646505715,3.3188903883883487,0.7165464399318232,-0.9288469453001358,0.0,4.464485440161718,0.0
0,1,4.747969094535949,3.406231197965921,0.7174080391310623,-0.9597137146368804,0.0,4.469853685492228,0.0
0,1,4.877989009478989,3.5032169461559555,0.718168273718626,-0.994059203219434,0.0,4.474590372548559,0.0
0,1,5.024788334659599,3.6114449105545843,0.7187257790828396,-1.032489702397875,0.0,4.478063943056539,0.0
0,1,3.182642024445129,3.0550099907300785,0.9598974585471006,-0.6319818127348453,-0.017591324903133705,5.23773969586576,1.0
0,1,3.315546953927177,3.1853234754041804,0.9607233797824065,-0.6710411872608528,-0.018121640025952353,5.242246386034903,1.0
0,1,3.4613625125325025,3.3280665035800974,0.9614903066437617,-0.7138676762897331,-0.018670711125780354,5.246431169763393,1.0
0,1,3.6222181954708295,3.484864588441397,0.9620802503832658,-0.7609871997872286,-0.01829540564437404,5.249650234169923,1.0
0,1,3.79862775591033,3.6563775238496783,0.9625522053748692,-0.812580986371594,-0.017467038845378965,5.25222548569515,1.0
0,1,3.992231589179055,3.8439089165478615,0.9628471772446212,-0.8690600588927453,-0.01636757313754072,5.253835017898413,1.0
0,1,4.203888085519074,4.048445793831623,0.9630241603664723,-0.9307043545469638,-0.015138076240543325,5.254800737220372,1.0
0,1,4.43381250679316,4.270653276556003,0.9632011434883239,-0.997678913414703,-0.014069412953129332,5.255766456542331,1.0
0,1,4.685896102969268,4.51346048464748,0.9632011434883239,-1.0709206783116243,-0.012721448437334571,5.255766456542332,1.0
0,1,3.1103563602928834,4.202135995507757,1.3510143240024328,-0.707090296632956,-0.009320063304299527,6.24623178982485,1.0
0,1,3.3162210650767245,4.471342946201372,1.348324752318019,-0.7745217902037804,-0.0063047269831918995,6.2337969193296,1.0
0,1,3.21786363110056,4.329842753887507,1.3455644024313835,-0.7401137194023386,-0.00359183921384379,6.2210348154002615,1.0
0,1,3.042761726757837,4.08583277761848,1.3428040525447482,-0.6802827863396859,-0.0013003532816536672,6.2082727114709275,1.0
0,1,3.922806453941652,4.8921787008866335,1.247111923141391,-0.9039920585928607,0.007834749052696873,5.765853108587272,1.0
0,1,3.665698547201195,4.5754281381525335,1.2481735961747122,-0.8251732728818602,0.006905741524827941,5.770761610098557,1.0
0,1,3.4249210681887123,4.279259421902861,1.2494476038146975,-0.7514062127214944,0.0057727024067936415,5.776651811912094,1.0
0,1,3.202225551986523,4.005999293692655,1.251004724263569,-0.6832503666149337,0.004458953052365573,5.783850947461978,1.0
0,1,4.7959942297176035,4.313652578334225,0.8994282252479318,-1.0298863009037085,0.0034263706874196986,4.907785594196386,1.0
