scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra
offroad_course,7,uniform,0.75,5,False,196608,93842,32768.0,0.5,13.750264166636347,0.006882919163917571,0.07261675853155145,0.0038268688326848557,20495,92419,0.22176175894567135,0.08198,0
offroad_course,7,random,0.02,5,False,7866,3775,1311.0,0.0200042724609375,4.791840166679624,0.006736020006945636,0.0661833863146011,0.00488643315943257,2827,92419,0.030588948160010388,0.011308,0
offroad_course,7,random,0.05,5,False,19662,9400,3277.0,0.0500030517578125,5.738826666667289,0.006369434913451117,0.06491733137747299,0.004352099386770286,5150,92419,0.05572447224055659,0.0206,0
offroad_course,7,random,0.1,5,False,39324,18755,6554.0,0.100006103515625,7.345467499969042,0.006777550476924921,0.06871591308719512,0.004378778730437413,7832,92419,0.08474447894913384,0.031328,0
offroad_course,7,random,0.2,5,False,78642,37553,13107.0,0.1999969482421875,9.18835866673362,0.007780660037189377,0.07582493916822193,0.004218611184212431,11646,92419,0.12601304926476156,0.046584,0
offroad_course,7,random,0.35,5,False,137628,65521,22938.0,0.350006103515625,11.674835333299901,0.007976421890269246,0.07983544729319303,0.004138677386339128,15792,92419,0.17087395448987763,0.063168,0
offroad_course,7,random,0.5,5,False,196608,93738,32768.0,0.5,14.11566800000704,0.0074925423474568095,0.07733946822017743,0.0038853547140221935,18993,92419,0.20550968956599833,0.075972,0
offroad_course,7,random,0.75,5,False,294912,140532,49152.0,0.75,19.4122895000343,0.007118760484592439,0.07549801441711883,0.0037582471826291272,22967,92419,0.24850950562113852,0.091868,0
offroad_course,7,full,1.0,10,False,720896,344243,65536.0,1.0,18.700647272639387,0.004917628184272714,0.06670421465875619,0.0031801770005756708,41210,92419,0.4459039807831723,0.16484,0
offroad_course,7,uniform,0.02,10,False,14080,7040,1280.0,0.01953125,2.113943999988392,0.0038421603305857375,0.02978079008615252,0.00507332342222536,4567,92419,0.04941624557720815,0.018268,0
offroad_course,7,uniform,0.05,10,False,36080,18040,3280.0,0.050048828125,2.0807347272735073,0.003001958564331987,0.023944921296443145,0.0047537089375076225,8256,92419,0.0893322801588418,0.033024,0
